ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2015,"2015",0,"Total",41813,4646,"Census Tract 6021.04, Los Angeles County, CA","14000US06037602104"
2015,"2015",0,"Total",103393,14211,"Census Tract 7030.02, Los Angeles County, CA","14000US06037703002"
2014,"2014",0,"Total",62679,8003,"Census Tract 6005.01, Los Angeles County, CA","14000US06037600501"
2014,"2014",0,"Total",66750,9871,"Census Tract 6005.02, Los Angeles County, CA","14000US06037600502"
2014,"2014",0,"Total",52297,10103,"Census Tract 6006.01, Los Angeles County, CA","14000US06037600601"
2014,"2014",0,"Total",27019,4302,"Census Tract 6006.02, Los Angeles County, CA","14000US06037600602"
2014,"2014",0,"Total",72328,18170,"Census Tract 6007.02, Los Angeles County, CA","14000US06037600702"
2014,"2014",0,"Total",65119,12283,"Census Tract 6007.03, Los Angeles County, CA","14000US06037600703"
2014,"2014",0,"Total",65531,15190,"Census Tract 6007.04, Los Angeles County, CA","14000US06037600704"
2014,"2014",0,"Total",55625,23858,"Census Tract 6008.01, Los Angeles County, CA","14000US06037600801"
2014,"2014",0,"Total",54036,11123,"Census Tract 6008.02, Los Angeles County, CA","14000US06037600802"
2014,"2014",0,"Total",33425,4616,"Census Tract 6009.02, Los Angeles County, CA","14000US06037600902"
2014,"2014",0,"Total",51307,15339,"Census Tract 6009.11, Los Angeles County, CA","14000US06037600911"
2014,"2014",0,"Total",42903,4903,"Census Tract 6009.12, Los Angeles County, CA","14000US06037600912"
2014,"2014",0,"Total",24417,7104,"Census Tract 6010.01, Los Angeles County, CA","14000US06037601001"
2014,"2014",0,"Total",41214,5888,"Census Tract 6010.02, Los Angeles County, CA","14000US06037601002"
2014,"2014",0,"Total",28763,3975.9999999999995,"Census Tract 6011, Los Angeles County, CA","14000US06037601100"
2014,"2014",0,"Total",42105,7151.999999999999,"Census Tract 6012.02, Los Angeles County, CA","14000US06037601202"
2014,"2014",0,"Total",35767,6569,"Census Tract 6012.11, Los Angeles County, CA","14000US06037601211"
2014,"2014",0,"Total",37543,5592,"Census Tract 6012.12, Los Angeles County, CA","14000US06037601212"
